datum,monat,wochentag,feiertag,arbeitstag
2015-06-09,Juni,Dienstag,,1
2015-06-10,Juni,Mittwoch,,1
2015-06-11,Juni,Donnerstag,,1
2015-06-12,Juni,Freitag,,1
2015-06-13,Juni,Samstag,,0
2015-06-14,Juni,Sonntag,,0
2015-06-15,Juni,Montag,,1
2015-06-16,Juni,Dienstag,,1
2015-06-17,Juni,Mittwoch,,1
2015-06-18,Juni,Donnerstag,,1
2015-06-19,Juni,Freitag,,1
2015-06-20,Juni,Samstag,,0
2015-06-21,Juni,Sonntag,,0
2015-06-22,Juni,Montag,,1
2015-06-23,Juni,Dienstag,,1
2015-06-24,Juni,Mittwoch,,1
2015-06-25,Juni,Donnerstag,,1
2015-06-26,Juni,Freitag,,1
2015-06-27,Juni,Samstag,,0
2015-06-28,Juni,Sonntag,,0
2015-06-29,Juni,Montag,,1
2015-06-30,Juni,Dienstag,,1
2015-07-01,Juli,Mittwoch,,1
2015-07-02,Juli,Donnerstag,,1
2015-07-03,Juli,Freitag,,1
2015-07-04,Juli,Samstag,,0
2015-07-05,Juli,Sonntag,,0
2015-07-06,Juli,Montag,,1
2015-07-07,Juli,Dienstag,,1
2015-07-08,Juli,Mittwoch,,1
2015-07-09,Juli,Donnerstag,,1
2015-07-10,Juli,Freitag,,1
2015-07-11,Juli,Samstag,,0
2015-07-12,Juli,Sonntag,,0
2015-07-13,Juli,Montag,,1
2015-07-14,Juli,Dienstag,,1
2015-07-15,Juli,Mittwoch,,1
2015-07-16,Juli,Donnerstag,,1
2015-07-17,Juli,Freitag,,1
2015-07-18,Juli,Samstag,,0
2015-07-19,Juli,Sonntag,,0
2015-07-20,Juli,Montag,,1
2015-07-21,Juli,Dienstag,,1
2015-07-22,Juli,Mittwoch,,1
2015-07-23,Juli,Donnerstag,,1
2015-07-24,Juli,Freitag,,1
2015-07-25,Juli,Samstag,,0
2015-07-26,Juli,Sonntag,,0
2015-07-27,Juli,Montag,,1
2015-07-28,Juli,Dienstag,,1
2015-07-29,Juli,Mittwoch,,1
2015-07-30,Juli,Donnerstag,,1
2015-07-31,Juli,Freitag,,1
2015-08-01,August,Samstag,,0
2015-08-02,August,Sonntag,,0
2015-08-03,August,Montag,,1
2015-08-04,August,Dienstag,,1
2015-08-05,August,Mittwoch,,1
2015-08-06,August,Donnerstag,,1
2015-08-07,August,Freitag,,1
2015-08-08,August,Samstag,,0
2015-08-09,August,Sonntag,,0
2015-08-10,August,Montag,,1
2015-08-11,August,Dienstag,,1
2015-08-12,August,Mittwoch,,1
2015-08-13,August,Donnerstag,,1
2015-08-14,August,Freitag,,1
2015-08-15,August,Samstag,,0
2015-08-16,August,Sonntag,,0
2015-08-17,August,Montag,,1
2015-08-18,August,Dienstag,,1
2015-08-19,August,Mittwoch,,1
2015-08-20,August,Donnerstag,,1
2015-08-21,August,Freitag,,1
2015-08-22,August,Samstag,,0
2015-08-23,August,Sonntag,,0
2015-08-24,August,Montag,,1
2015-08-25,August,Dienstag,,1
2015-08-26,August,Mittwoch,,1
2015-08-27,August,Donnerstag,,1
2015-08-28,August,Freitag,,1
2015-08-29,August,Samstag,,0
2015-08-30,August,Sonntag,,0
2015-08-31,August,Montag,,1
2015-09-01,September,Dienstag,,1
2015-09-02,September,Mittwoch,,1
2015-09-03,September,Donnerstag,,1
2015-09-04,September,Freitag,,1
2015-09-05,September,Samstag,,0
2015-09-06,September,Sonntag,,0
2015-09-07,September,Montag,,1
2015-09-08,September,Dienstag,,1
2015-09-09,September,Mittwoch,,1
2015-09-10,September,Donnerstag,,1
2015-09-11,September,Freitag,,1
2015-09-12,September,Samstag,,0
2015-09-13,September,Sonntag,,0
2015-09-14,September,Montag,,1
2015-09-15,September,Dienstag,,1
2015-09-16,September,Mittwoch,,1
2015-09-17,September,Donnerstag,,1
2015-09-18,September,Freitag,,1
2015-09-19,September,Samstag,,0
2015-09-20,September,Sonntag,,0
2015-09-21,September,Montag,,1
2015-09-22,September,Dienstag,,1
2015-09-23,September,Mittwoch,,1
2015-09-24,September,Donnerstag,,1
2015-09-25,September,Freitag,,1
2015-09-26,September,Samstag,,0
2015-09-27,September,Sonntag,,0
2015-09-28,September,Montag,,1
2015-09-29,September,Dienstag,,1
2015-09-30,September,Mittwoch,,1
2015-10-01,Oktober,Donnerstag,,1
2015-10-02,Oktober,Freitag,,1
