datum,verbrauch,wochentag,feiertag,arbeitstag
2015-06-16,181619,Dienstag,,1
2015-06-17,180587,Mittwoch,,1
2015-06-18,179869,Donnerstag,,1
2015-06-19,175842,Freitag,,1
2015-06-20,138571,Samstag,,0
2015-06-21,120039,Sonntag,,0
2015-06-22,174359,Montag,,1
2015-06-23,179550,Dienstag,,1
2015-06-24,178495,Mittwoch,,1
2015-06-25,178106,Donnerstag,,1
2015-06-26,175728,Freitag,,1
2015-06-27,138717,Samstag,,0
2015-06-28,118909,Sonntag,,0
2015-06-29,177112,Montag,,1
2015-06-30,183689,Dienstag,,1
2015-07-01,184739,Mittwoch,,1
2015-07-02,189331,Donnerstag,,1
2015-07-03,187467,Freitag,,1
2015-07-04,147992,Samstag,,0
2015-07-05,131570,Sonntag,,0
2015-07-06,185744,Montag,,1
2015-07-07,192789,Dienstag,,1
2015-07-08,186651,Mittwoch,,1
2015-07-09,181851,Donnerstag,,1
2015-07-10,176994,Freitag,,1
2015-07-11,141966,Samstag,,0
2015-07-12,124069,Sonntag,,0
2015-07-13,178052,Montag,,1
2015-07-14,185358,Dienstag,,1
2015-07-15,188191,Mittwoch,,1
2015-07-16,190242,Donnerstag,,1
2015-07-17,187920,Freitag,,1
2015-07-18,144639,Samstag,,0
2015-07-19,126568,Sonntag,,0
2015-07-20,183832,Montag,,1
2015-07-21,192906,Dienstag,,1
2015-07-22,194199,Mittwoch,,1
2015-07-23,188396,Donnerstag,,1
2015-07-24,184137,Freitag,,1
2015-07-25,144530,Samstag,,0
2015-07-26,122797,Sonntag,,0
2015-07-27,175830,Montag,,1
2015-07-28,182962,Dienstag,,1
2015-07-29,180404,Mittwoch,,1
2015-07-30,177664,Donnerstag,,1
2015-07-31,172938,Freitag,,1
2015-08-01,136658,Samstag,,0
2015-08-02,119570,Sonntag,,0
2015-08-03,171632,Montag,,1
2015-08-04,177140,Dienstag,,1
2015-08-05,175276,Mittwoch,,1
2015-08-06,177711,Donnerstag,,1
2015-08-07,174470,Freitag,,1
2015-08-08,141594,Samstag,,0
2015-08-09,123306,Sonntag,,0
2015-08-10,168016,Montag,,1
2015-08-11,171157,Dienstag,,1
2015-08-12,173898,Mittwoch,,1
2015-08-13,173601,Donnerstag,,1
2015-08-14,168526,Freitag,,1
2015-08-15,131705,Samstag,,0
2015-08-16,114983,Sonntag,,0
2015-08-17,159835,Montag,,1
2015-08-18,163828,Dienstag,,1
2015-08-19,163698,Mittwoch,,1
2015-08-20,163211,Donnerstag,,1
2015-08-21,161829,Freitag,,1
2015-08-22,131276,Samstag,,0
2015-08-23,117698,Sonntag,,0
2015-08-24,167982,Montag,,1
