datum,wochentag,feiertag,arbeitstag
2015-07-18,Samstag,,0
2015-07-19,Sonntag,,0
2015-07-20,Montag,,1
2015-07-21,Dienstag,,1
2015-07-22,Mittwoch,,1
2015-07-23,Donnerstag,,1
2015-07-24,Freitag,,1
2015-07-25,Samstag,,0
2015-07-26,Sonntag,,0
2015-07-27,Montag,,1
2015-07-28,Dienstag,,1
2015-07-29,Mittwoch,,1
2015-07-30,Donnerstag,,1
2015-07-31,Freitag,,1
2015-08-01,Samstag,,0
2015-08-02,Sonntag,,0
2015-08-03,Montag,,1
2015-08-04,Dienstag,,1
2015-08-05,Mittwoch,,1
2015-08-06,Donnerstag,,1
2015-08-07,Freitag,,1
2015-08-08,Samstag,,0
2015-08-09,Sonntag,,0
2015-08-10,Montag,,1
2015-08-11,Dienstag,,1
2015-08-12,Mittwoch,,1
2015-08-13,Donnerstag,,1
2015-08-14,Freitag,,1
2015-08-15,Samstag,,0
2015-08-16,Sonntag,,0
2015-08-17,Montag,,1
2015-08-18,Dienstag,,1
2015-08-19,Mittwoch,,1
2015-08-20,Donnerstag,,1
2015-08-21,Freitag,,1
2015-08-22,Samstag,,0
2015-08-23,Sonntag,,0
2015-08-24,Montag,,1
2015-08-25,Dienstag,,1
2015-08-26,Mittwoch,,1
2015-08-27,Donnerstag,,1
2015-08-28,Freitag,,1
2015-08-29,Samstag,,0
2015-08-30,Sonntag,,0
2015-08-31,Montag,,1
2015-09-01,Dienstag,,1
2015-09-02,Mittwoch,,1
2015-09-03,Donnerstag,,1
2015-09-04,Freitag,,1
2015-09-05,Samstag,,0
2015-09-06,Sonntag,,0
2015-09-07,Montag,,1
2015-09-08,Dienstag,,1
2015-09-09,Mittwoch,,1
2015-09-10,Donnerstag,,1
2015-09-11,Freitag,,1
2015-09-12,Samstag,,0
2015-09-13,Sonntag,,0
2015-09-14,Montag,,1
2015-09-15,Dienstag,,1
2015-09-16,Mittwoch,,1
2015-09-17,Donnerstag,,1
2015-09-18,Freitag,,1
2015-09-19,Samstag,,0
2015-09-20,Sonntag,,0
2015-09-21,Montag,,1
2015-09-22,Dienstag,,1
2015-09-23,Mittwoch,,1
2015-09-24,Donnerstag,,1
2015-09-25,Freitag,,1
2015-09-26,Samstag,,0
2015-09-27,Sonntag,,0
2015-09-28,Montag,,1
2015-09-29,Dienstag,,1
2015-09-30,Mittwoch,,1
2015-10-01,Donnerstag,,1
2015-10-02,Freitag,,1
2015-10-03,Samstag,Tag der Deutschen Einheit,0
2015-10-04,Sonntag,,0
2015-10-05,Montag,,1
2015-10-06,Dienstag,,1
2015-10-07,Mittwoch,,1
2015-10-08,Donnerstag,,1
2015-10-09,Freitag,,1
2015-10-10,Samstag,,0
2015-10-11,Sonntag,,0
2015-10-12,Montag,,1
2015-10-13,Dienstag,,1
2015-10-14,Mittwoch,,1
2015-10-15,Donnerstag,,1
2015-10-16,Freitag,,1
2015-10-17,Samstag,,0
2015-10-18,Sonntag,,0
2015-10-19,Montag,,1
2015-10-20,Dienstag,,1
2015-10-21,Mittwoch,,1
2015-10-22,Donnerstag,,1
2015-10-23,Freitag,,1
2015-10-24,Samstag,,0
2015-10-25,Sonntag,,0
2015-10-26,Montag,,1
2015-10-27,Dienstag,,1
2015-10-28,Mittwoch,,1
2015-10-29,Donnerstag,,1
2015-10-30,Freitag,,1
2015-10-31,Samstag,,0
2015-11-01,Sonntag,Allerheiligen,0
2015-11-02,Montag,,1
2015-11-03,Dienstag,,1
2015-11-04,Mittwoch,,1
2015-11-05,Donnerstag,,1
2015-11-06,Freitag,,1
2015-11-07,Samstag,,0
2015-11-08,Sonntag,,0
2015-11-09,Montag,,1
2015-11-10,Dienstag,,1
2015-11-11,Mittwoch,,1
2015-11-12,Donnerstag,,1
2015-11-13,Freitag,,1
2015-11-14,Samstag,,0
2015-11-15,Sonntag,,0
2015-11-16,Montag,,1
2015-11-17,Dienstag,,1
2015-11-18,Mittwoch,,1
2015-11-19,Donnerstag,,1
2015-11-20,Freitag,,1
2015-11-21,Samstag,,0
2015-11-22,Sonntag,,0
2015-11-23,Montag,,1
2015-11-24,Dienstag,,1
2015-11-25,Mittwoch,,1
2015-11-26,Donnerstag,,1
2015-11-27,Freitag,,1
2015-11-28,Samstag,,0
2015-11-29,Sonntag,,0
2015-11-30,Montag,,1
2015-12-01,Dienstag,,1
2015-12-02,Mittwoch,,1
2015-12-03,Donnerstag,,1
2015-12-04,Freitag,,1
2015-12-05,Samstag,,0
2015-12-06,Sonntag,,0
2015-12-07,Montag,,1
2015-12-08,Dienstag,,1
2015-12-09,Mittwoch,,1
2015-12-10,Donnerstag,,1
2015-12-11,Freitag,,1
2015-12-12,Samstag,,0
2015-12-13,Sonntag,,0
2015-12-14,Montag,,1
2015-12-15,Dienstag,,1
2015-12-16,Mittwoch,,1
2015-12-17,Donnerstag,,1
2015-12-18,Freitag,,1
2015-12-19,Samstag,,0
2015-12-20,Sonntag,,0
2015-12-21,Montag,,1
2015-12-22,Dienstag,,1
2015-12-23,Mittwoch,,1
2015-12-24,Donnerstag,,1
2015-12-25,Freitag,Erster Weihnachtsfeiertag,0
2015-12-26,Samstag,Zweiter Weihnachtsfeiertag,0
2015-12-27,Sonntag,,0
2015-12-28,Montag,,1
2015-12-29,Dienstag,,1
2015-12-30,Mittwoch,,1
2015-12-31,Donnerstag,,1
2016-01-01,Freitag,Neujahr,0
2016-01-02,Samstag,,0
2016-01-03,Sonntag,,0
2016-01-04,Montag,,1
2016-01-05,Dienstag,,1
2016-01-06,Mittwoch,Heilige Drei Koenige,0
2016-01-07,Donnerstag,,1
2016-01-08,Freitag,,1
