datum,wochentag,feiertag,arbeitstag
2017-05-16,Dienstag,,1
2017-05-17,Mittwoch,,1
2017-05-18,Donnerstag,,1
2017-05-19,Freitag,,1
2017-05-20,Samstag,,0
2017-05-21,Sonntag,,0
2017-05-22,Montag,,1
2017-05-23,Dienstag,,1
2017-05-24,Mittwoch,,1
2017-05-25,Donnerstag,Christi Himmelfahrt,0
2017-05-26,Freitag,,1
2017-05-27,Samstag,,0
2017-05-28,Sonntag,,0
2017-05-29,Montag,,1
2017-05-30,Dienstag,,1
2017-05-31,Mittwoch,,1
2017-06-01,Donnerstag,,1
2017-06-02,Freitag,,1
2017-06-03,Samstag,,0
2017-06-04,Sonntag,,0
2017-06-05,Montag,Pfingstmontag,0
2017-06-06,Dienstag,,1
2017-06-07,Mittwoch,,1
2017-06-08,Donnerstag,,1
2017-06-09,Freitag,,1
2017-06-10,Samstag,,0
2017-06-11,Sonntag,,0
2017-06-12,Montag,,1
2017-06-13,Dienstag,,1
2017-06-14,Mittwoch,,1
2017-06-15,Donnerstag,Fronleichnam,0
2017-06-16,Freitag,,1
2017-06-17,Samstag,,0
2017-06-18,Sonntag,,0
2017-06-19,Montag,,1
2017-06-20,Dienstag,,1
2017-06-21,Mittwoch,,1
2017-06-22,Donnerstag,,1
2017-06-23,Freitag,,1
2017-06-24,Samstag,,0
2017-06-25,Sonntag,,0
2017-06-26,Montag,,1
2017-06-27,Dienstag,,1
2017-06-28,Mittwoch,,1
2017-06-29,Donnerstag,,1
2017-06-30,Freitag,,1
2017-07-01,Samstag,,0
2017-07-02,Sonntag,,0
2017-07-03,Montag,,1
2017-07-04,Dienstag,,1
2017-07-05,Mittwoch,,1
2017-07-06,Donnerstag,,1
2017-07-07,Freitag,,1
2017-07-08,Samstag,,0
2017-07-09,Sonntag,,0
2017-07-10,Montag,,1
2017-07-11,Dienstag,,1
2017-07-12,Mittwoch,,1
2017-07-13,Donnerstag,,1
2017-07-14,Freitag,,1
2017-07-15,Samstag,,0
2017-07-16,Sonntag,,0
2017-07-17,Montag,,1
2017-07-18,Dienstag,,1
2017-07-19,Mittwoch,,1
2017-07-20,Donnerstag,,1
2017-07-21,Freitag,,1
2017-07-22,Samstag,,0
2017-07-23,Sonntag,,0
2017-07-24,Montag,,1
2017-07-25,Dienstag,,1
2017-07-26,Mittwoch,,1
2017-07-27,Donnerstag,,1
2017-07-28,Freitag,,1
2017-07-29,Samstag,,0
2017-07-30,Sonntag,,0
2017-07-31,Montag,,1
2017-08-01,Dienstag,,1
2017-08-02,Mittwoch,,1
2017-08-03,Donnerstag,,1
2017-08-04,Freitag,,1
2017-08-05,Samstag,,0
2017-08-06,Sonntag,,0
2017-08-07,Montag,,1
2017-08-08,Dienstag,,1
2017-08-09,Mittwoch,,1
2017-08-10,Donnerstag,,1
2017-08-11,Freitag,,1
2017-08-12,Samstag,,0
2017-08-13,Sonntag,,0
2017-08-14,Montag,,1
2017-08-15,Dienstag,,1
2017-08-16,Mittwoch,,1
2017-08-17,Donnerstag,,1
2017-08-18,Freitag,,1
2017-08-19,Samstag,,0
2017-08-20,Sonntag,,0
2017-08-21,Montag,,1
2017-08-22,Dienstag,,1
2017-08-23,Mittwoch,,1
2017-08-24,Donnerstag,,1
2017-08-25,Freitag,,1
2017-08-26,Samstag,,0
2017-08-27,Sonntag,,0
2017-08-28,Montag,,1
2017-08-29,Dienstag,,1
2017-08-30,Mittwoch,,1
2017-08-31,Donnerstag,,1
2017-09-01,Freitag,,1
2017-09-02,Samstag,,0
2017-09-03,Sonntag,,0
2017-09-04,Montag,,1
2017-09-05,Dienstag,,1
2017-09-06,Mittwoch,,1
2017-09-07,Donnerstag,,1
2017-09-08,Freitag,,1
2017-09-09,Samstag,,0
2017-09-10,Sonntag,,0
2017-09-11,Montag,,1
2017-09-12,Dienstag,,1
2017-09-13,Mittwoch,,1
2017-09-14,Donnerstag,,1
2017-09-15,Freitag,,1
2017-09-16,Samstag,,0
2017-09-17,Sonntag,,0
2017-09-18,Montag,,1
2017-09-19,Dienstag,,1
2017-09-20,Mittwoch,,1
2017-09-21,Donnerstag,,1
2017-09-22,Freitag,,1
2017-09-23,Samstag,,0
2017-09-24,Sonntag,,0
2017-09-25,Montag,,1
2017-09-26,Dienstag,,1
2017-09-27,Mittwoch,,1
2017-09-28,Donnerstag,,1
2017-09-29,Freitag,,1
2017-09-30,Samstag,,0
2017-10-01,Sonntag,,0
2017-10-02,Montag,,1
2017-10-03,Dienstag,Tag der Deutschen Einheit,0
2017-10-04,Mittwoch,,1
2017-10-05,Donnerstag,,1
2017-10-06,Freitag,,1
2017-10-07,Samstag,,0
2017-10-08,Sonntag,,0
2017-10-09,Montag,,1
2017-10-10,Dienstag,,1
2017-10-11,Mittwoch,,1
2017-10-12,Donnerstag,,1
2017-10-13,Freitag,,1
2017-10-14,Samstag,,0
2017-10-15,Sonntag,,0
2017-10-16,Montag,,1
2017-10-17,Dienstag,,1
2017-10-18,Mittwoch,,1
2017-10-19,Donnerstag,,1
2017-10-20,Freitag,,1
2017-10-21,Samstag,,0
2017-10-22,Sonntag,,0
2017-10-23,Montag,,1
2017-10-24,Dienstag,,1
2017-10-25,Mittwoch,,1
2017-10-26,Donnerstag,,1
2017-10-27,Freitag,,1
2017-10-28,Samstag,,0
2017-10-29,Sonntag,,0
2017-10-30,Montag,,1
2017-10-31,Dienstag,Reformationstag,0
2017-11-01,Mittwoch,Allerheiligen,0
2017-11-02,Donnerstag,,1
2017-11-03,Freitag,,1
2017-11-04,Samstag,,0
2017-11-05,Sonntag,,0
2017-11-06,Montag,,1
2017-11-07,Dienstag,,1
2017-11-08,Mittwoch,,1
2017-11-09,Donnerstag,,1
2017-11-10,Freitag,,1
2017-11-11,Samstag,,0
2017-11-12,Sonntag,,0
2017-11-13,Montag,,1
2017-11-14,Dienstag,,1
2017-11-15,Mittwoch,,1
2017-11-16,Donnerstag,,1
2017-11-17,Freitag,,1
2017-11-18,Samstag,,0
2017-11-19,Sonntag,,0
2017-11-20,Montag,,1
2017-11-21,Dienstag,,1
2017-11-22,Mittwoch,,1
2017-11-23,Donnerstag,,1
2017-11-24,Freitag,,1
2017-11-25,Samstag,,0
2017-11-26,Sonntag,,0
2017-11-27,Montag,,1
2017-11-28,Dienstag,,1
2017-11-29,Mittwoch,,1
2017-11-30,Donnerstag,,1
2017-12-01,Freitag,,1
2017-12-02,Samstag,,0
2017-12-03,Sonntag,,0
2017-12-04,Montag,,1
2017-12-05,Dienstag,,1
2017-12-06,Mittwoch,,1
2017-12-07,Donnerstag,,1
2017-12-08,Freitag,,1
2017-12-09,Samstag,,0
2017-12-10,Sonntag,,0
2017-12-11,Montag,,1
2017-12-12,Dienstag,,1
2017-12-13,Mittwoch,,1
2017-12-14,Donnerstag,,1
2017-12-15,Freitag,,1
2017-12-16,Samstag,,0
2017-12-17,Sonntag,,0
2017-12-18,Montag,,1
2017-12-19,Dienstag,,1
2017-12-20,Mittwoch,,1
2017-12-21,Donnerstag,,1
2017-12-22,Freitag,,1
2017-12-23,Samstag,,0
2017-12-24,Sonntag,,0
2017-12-25,Montag,Erster Weihnachtsfeiertag,0
2017-12-26,Dienstag,Zweiter Weihnachtsfeiertag,0
2017-12-27,Mittwoch,,1
2017-12-28,Donnerstag,,1
2017-12-29,Freitag,,1
2017-12-30,Samstag,,0
2017-12-31,Sonntag,,0
2018-01-01,Montag,Neujahr,0
2018-01-02,Dienstag,,1
2018-01-03,Mittwoch,,1
2018-01-04,Donnerstag,,1
2018-01-05,Freitag,,1
2018-01-06,Samstag,Heilige Drei Koenige,0
2018-01-07,Sonntag,,0
2018-01-08,Montag,,1
2018-01-09,Dienstag,,1
2018-01-10,Mittwoch,,1
2018-01-11,Donnerstag,,1
2018-01-12,Freitag,,1
2018-01-13,Samstag,,0
2018-01-14,Sonntag,,0
2018-01-15,Montag,,1
2018-01-16,Dienstag,,1
2018-01-17,Mittwoch,,1
2018-01-18,Donnerstag,,1
2018-01-19,Freitag,,1
2018-01-20,Samstag,,0
2018-01-21,Sonntag,,0
2018-01-22,Montag,,1
2018-01-23,Dienstag,,1
2018-01-24,Mittwoch,,1
2018-01-25,Donnerstag,,1
2018-01-26,Freitag,,1
2018-01-27,Samstag,,0
2018-01-28,Sonntag,,0
2018-01-29,Montag,,1
2018-01-30,Dienstag,,1
2018-01-31,Mittwoch,,1
2018-02-01,Donnerstag,,1
2018-02-02,Freitag,,1
2018-02-03,Samstag,,0
2018-02-04,Sonntag,,0
2018-02-05,Montag,,1
2018-02-06,Dienstag,,1
2018-02-07,Mittwoch,,1
2018-02-08,Donnerstag,,1
2018-02-09,Freitag,,1
2018-02-10,Samstag,,0
2018-02-11,Sonntag,,0
2018-02-12,Montag,,1
2018-02-13,Dienstag,,1
2018-02-14,Mittwoch,,1
2018-02-15,Donnerstag,,1
2018-02-16,Freitag,,1
2018-02-17,Samstag,,0
2018-02-18,Sonntag,,0
2018-02-19,Montag,,1
2018-02-20,Dienstag,,1
2018-02-21,Mittwoch,,1
2018-02-22,Donnerstag,,1
2018-02-23,Freitag,,1
2018-02-24,Samstag,,0
2018-02-25,Sonntag,,0
2018-02-26,Montag,,1
2018-02-27,Dienstag,,1
2018-02-28,Mittwoch,,1
2018-03-01,Donnerstag,,1
2018-03-02,Freitag,,1
2018-03-03,Samstag,,0
2018-03-04,Sonntag,,0
2018-03-05,Montag,,1
2018-03-06,Dienstag,,1
2018-03-07,Mittwoch,,1
2018-03-08,Donnerstag,,1
2018-03-09,Freitag,,1
2018-03-10,Samstag,,0
2018-03-11,Sonntag,,0
2018-03-12,Montag,,1
2018-03-13,Dienstag,,1
2018-03-14,Mittwoch,,1
2018-03-15,Donnerstag,,1
2018-03-16,Freitag,,1
2018-03-17,Samstag,,0
2018-03-18,Sonntag,,0
2018-03-19,Montag,,1
2018-03-20,Dienstag,,1
2018-03-21,Mittwoch,,1
2018-03-22,Donnerstag,,1
2018-03-23,Freitag,,1
2018-03-24,Samstag,,0
2018-03-25,Sonntag,,0
2018-03-26,Montag,,1
2018-03-27,Dienstag,,1
2018-03-28,Mittwoch,,1
2018-03-29,Donnerstag,,1
2018-03-30,Freitag,Karfreitag,0
2018-03-31,Samstag,,0
2018-04-01,Sonntag,,0
2018-04-02,Montag,Ostermontag,0
2018-04-03,Dienstag,,1
2018-04-04,Mittwoch,,1
2018-04-05,Donnerstag,,1
2018-04-06,Freitag,,1
2018-04-07,Samstag,,0
2018-04-08,Sonntag,,0
2018-04-09,Montag,,1
2018-04-10,Dienstag,,1
2018-04-11,Mittwoch,,1
2018-04-12,Donnerstag,,1
2018-04-13,Freitag,,1
2018-04-14,Samstag,,0
2018-04-15,Sonntag,,0
2018-04-16,Montag,,1
2018-04-17,Dienstag,,1
2018-04-18,Mittwoch,,1
2018-04-19,Donnerstag,,1
2018-04-20,Freitag,,1
2018-04-21,Samstag,,0
2018-04-22,Sonntag,,0
2018-04-23,Montag,,1
2018-04-24,Dienstag,,1
2018-04-25,Mittwoch,,1
2018-04-26,Donnerstag,,1
2018-04-27,Freitag,,1
2018-04-28,Samstag,,0
2018-04-29,Sonntag,,0
2018-04-30,Montag,,1
2018-05-01,Dienstag,Erster Mai,0
2018-05-02,Mittwoch,,1
2018-05-03,Donnerstag,,1
2018-05-04,Freitag,,1
2018-05-05,Samstag,,0
2018-05-06,Sonntag,,0
2018-05-07,Montag,,1
2018-05-08,Dienstag,,1
2018-05-09,Mittwoch,,1
2018-05-10,Donnerstag,Christi Himmelfahrt,0
2018-05-11,Freitag,,1
2018-05-12,Samstag,,0
2018-05-13,Sonntag,,0
2018-05-14,Montag,,1
2018-05-15,Dienstag,,1
2018-05-16,Mittwoch,,1
2018-05-17,Donnerstag,,1
2018-05-18,Freitag,,1
2018-05-19,Samstag,,0
2018-05-20,Sonntag,,0
2018-05-21,Montag,Pfingstmontag,0
2018-05-22,Dienstag,,1
2018-05-23,Mittwoch,,1
2018-05-24,Donnerstag,,1
2018-05-25,Freitag,,1
2018-05-26,Samstag,,0
2018-05-27,Sonntag,,0
2018-05-28,Montag,,1
2018-05-29,Dienstag,,1
2018-05-30,Mittwoch,,1
2018-05-31,Donnerstag,Fronleichnam,0
2018-06-01,Freitag,,1
2018-06-02,Samstag,,0
2018-06-03,Sonntag,,0
2018-06-04,Montag,,1
2018-06-05,Dienstag,,1
2018-06-06,Mittwoch,,1
2018-06-07,Donnerstag,,1
2018-06-08,Freitag,,1
2018-06-09,Samstag,,0
2018-06-10,Sonntag,,0
2018-06-11,Montag,,1
2018-06-12,Dienstag,,1
2018-06-13,Mittwoch,,1
2018-06-14,Donnerstag,,1
2018-06-15,Freitag,,1
2018-06-16,Samstag,,0
2018-06-17,Sonntag,,0
2018-06-18,Montag,,1
2018-06-19,Dienstag,,1
2018-06-20,Mittwoch,,1
2018-06-21,Donnerstag,,1
2018-06-22,Freitag,,1
2018-06-23,Samstag,,0
2018-06-24,Sonntag,,0
2018-06-25,Montag,,1
2018-06-26,Dienstag,,1
2018-06-27,Mittwoch,,1
2018-06-28,Donnerstag,,1
2018-06-29,Freitag,,1
2018-06-30,Samstag,,0
2018-07-01,Sonntag,,0
2018-07-02,Montag,,1
2018-07-03,Dienstag,,1
2018-07-04,Mittwoch,,1
2018-07-05,Donnerstag,,1
2018-07-06,Freitag,,1
2018-07-07,Samstag,,0
2018-07-08,Sonntag,,0
2018-07-09,Montag,,1
2018-07-10,Dienstag,,1
2018-07-11,Mittwoch,,1
2018-07-12,Donnerstag,,1
2018-07-13,Freitag,,1
2018-07-14,Samstag,,0
2018-07-15,Sonntag,,0
2018-07-16,Montag,,1
2018-07-17,Dienstag,,1
2018-07-18,Mittwoch,,1
2018-07-19,Donnerstag,,1
2018-07-20,Freitag,,1
2018-07-21,Samstag,,0
2018-07-22,Sonntag,,0
2018-07-23,Montag,,1
2018-07-24,Dienstag,,1
2018-07-25,Mittwoch,,1
2018-07-26,Donnerstag,,1
2018-07-27,Freitag,,1
2018-07-28,Samstag,,0
2018-07-29,Sonntag,,0
2018-07-30,Montag,,1
2018-07-31,Dienstag,,1
2018-08-01,Mittwoch,,1
2018-08-02,Donnerstag,,1
2018-08-03,Freitag,,1
2018-08-04,Samstag,,0
2018-08-05,Sonntag,,0
2018-08-06,Montag,,1
2018-08-07,Dienstag,,1
2018-08-08,Mittwoch,,1
2018-08-09,Donnerstag,,1
2018-08-10,Freitag,,1
2018-08-11,Samstag,,0
2018-08-12,Sonntag,,0
2018-08-13,Montag,,1
2018-08-14,Dienstag,,1
2018-08-15,Mittwoch,,1
2018-08-16,Donnerstag,,1
2018-08-17,Freitag,,1
2018-08-18,Samstag,,0
2018-08-19,Sonntag,,0
2018-08-20,Montag,,1
2018-08-21,Dienstag,,1
2018-08-22,Mittwoch,,1
2018-08-23,Donnerstag,,1
2018-08-24,Freitag,,1
2018-08-25,Samstag,,0
2018-08-26,Sonntag,,0
2018-08-27,Montag,,1
2018-08-28,Dienstag,,1
2018-08-29,Mittwoch,,1
2018-08-30,Donnerstag,,1
2018-08-31,Freitag,,1
2018-09-01,Samstag,,0
2018-09-02,Sonntag,,0
2018-09-03,Montag,,1
2018-09-04,Dienstag,,1
2018-09-05,Mittwoch,,1
2018-09-06,Donnerstag,,1
2018-09-07,Freitag,,1
2018-09-08,Samstag,,0
2018-09-09,Sonntag,,0
2018-09-10,Montag,,1
2018-09-11,Dienstag,,1
2018-09-12,Mittwoch,,1
2018-09-13,Donnerstag,,1
2018-09-14,Freitag,,1
2018-09-15,Samstag,,0
2018-09-16,Sonntag,,0
2018-09-17,Montag,,1
2018-09-18,Dienstag,,1
2018-09-19,Mittwoch,,1
2018-09-20,Donnerstag,,1
2018-09-21,Freitag,,1
2018-09-22,Samstag,,0
2018-09-23,Sonntag,,0
2018-09-24,Montag,,1
2018-09-25,Dienstag,,1
2018-09-26,Mittwoch,,1
2018-09-27,Donnerstag,,1
2018-09-28,Freitag,,1
2018-09-29,Samstag,,0
2018-09-30,Sonntag,,0
2018-10-01,Montag,,1
2018-10-02,Dienstag,,1
2018-10-03,Mittwoch,Tag der Deutschen Einheit,0
2018-10-04,Donnerstag,,1
2018-10-05,Freitag,,1
2018-10-06,Samstag,,0
2018-10-07,Sonntag,,0
2018-10-08,Montag,,1
2018-10-09,Dienstag,,1
2018-10-10,Mittwoch,,1
2018-10-11,Donnerstag,,1
2018-10-12,Freitag,,1
2018-10-13,Samstag,,0
2018-10-14,Sonntag,,0
2018-10-15,Montag,,1
2018-10-16,Dienstag,,1
2018-10-17,Mittwoch,,1
2018-10-18,Donnerstag,,1
2018-10-19,Freitag,,1
2018-10-20,Samstag,,0
2018-10-21,Sonntag,,0
2018-10-22,Montag,,1
2018-10-23,Dienstag,,1
2018-10-24,Mittwoch,,1
2018-10-25,Donnerstag,,1
2018-10-26,Freitag,,1
2018-10-27,Samstag,,0
2018-10-28,Sonntag,,0
2018-10-29,Montag,,1
2018-10-30,Dienstag,,1
2018-10-31,Mittwoch,,1
2018-11-01,Donnerstag,Allerheiligen,0
2018-11-02,Freitag,,1
2018-11-03,Samstag,,0
2018-11-04,Sonntag,,0
2018-11-05,Montag,,1
2018-11-06,Dienstag,,1
2018-11-07,Mittwoch,,1
2018-11-08,Donnerstag,,1
2018-11-09,Freitag,,1
2018-11-10,Samstag,,0
2018-11-11,Sonntag,,0
2018-11-12,Montag,,1
2018-11-13,Dienstag,,1
2018-11-14,Mittwoch,,1
2018-11-15,Donnerstag,,1
2018-11-16,Freitag,,1
2018-11-17,Samstag,,0
2018-11-18,Sonntag,,0
2018-11-19,Montag,,1
2018-11-20,Dienstag,,1
2018-11-21,Mittwoch,,1
2018-11-22,Donnerstag,,1
2018-11-23,Freitag,,1
2018-11-24,Samstag,,0
2018-11-25,Sonntag,,0
2018-11-26,Montag,,1
2018-11-27,Dienstag,,1
2018-11-28,Mittwoch,,1
2018-11-29,Donnerstag,,1
2018-11-30,Freitag,,1
2018-12-01,Samstag,,0
2018-12-02,Sonntag,,0
2018-12-03,Montag,,1
2018-12-04,Dienstag,,1
2018-12-05,Mittwoch,,1
2018-12-06,Donnerstag,,1
2018-12-07,Freitag,,1
2018-12-08,Samstag,,0
2018-12-09,Sonntag,,0
2018-12-10,Montag,,1
2018-12-11,Dienstag,,1
2018-12-12,Mittwoch,,1
2018-12-13,Donnerstag,,1
2018-12-14,Freitag,,1
2018-12-15,Samstag,,0
2018-12-16,Sonntag,,0
2018-12-17,Montag,,1
2018-12-18,Dienstag,,1
2018-12-19,Mittwoch,,1
2018-12-20,Donnerstag,,1
2018-12-21,Freitag,,1
2018-12-22,Samstag,,0
2018-12-23,Sonntag,,0
2018-12-24,Montag,,1
2018-12-25,Dienstag,Erster Weihnachtsfeiertag,0
2018-12-26,Mittwoch,Zweiter Weihnachtsfeiertag,0
2018-12-27,Donnerstag,,1
2018-12-28,Freitag,,1
2018-12-29,Samstag,,0
2018-12-30,Sonntag,,0
2018-12-31,Montag,,1
2019-01-01,Dienstag,Neujahr,0
2019-01-02,Mittwoch,,1
2019-01-03,Donnerstag,,1
2019-01-04,Freitag,,1
2019-01-05,Samstag,,0
2019-01-06,Sonntag,Heilige Drei Koenige,0
2019-01-07,Montag,,1
2019-01-08,Dienstag,,1
2019-01-09,Mittwoch,,1
2019-01-10,Donnerstag,,1
2019-01-11,Freitag,,1
2019-01-12,Samstag,,0
2019-01-13,Sonntag,,0
2019-01-14,Montag,,1
2019-01-15,Dienstag,,1
2019-01-16,Mittwoch,,1
2019-01-17,Donnerstag,,1
2019-01-18,Freitag,,1
2019-01-19,Samstag,,0
2019-01-20,Sonntag,,0
2019-01-21,Montag,,1
2019-01-22,Dienstag,,1
2019-01-23,Mittwoch,,1
2019-01-24,Donnerstag,,1
2019-01-25,Freitag,,1
2019-01-26,Samstag,,0
2019-01-27,Sonntag,,0
2019-01-28,Montag,,1
2019-01-29,Dienstag,,1
2019-01-30,Mittwoch,,1
2019-01-31,Donnerstag,,1
2019-02-01,Freitag,,1
2019-02-02,Samstag,,0
2019-02-03,Sonntag,,0
2019-02-04,Montag,,1
2019-02-05,Dienstag,,1
2019-02-06,Mittwoch,,1
2019-02-07,Donnerstag,,1
2019-02-08,Freitag,,1
2019-02-09,Samstag,,0
2019-02-10,Sonntag,,0
2019-02-11,Montag,,1
2019-02-12,Dienstag,,1
2019-02-13,Mittwoch,,1
2019-02-14,Donnerstag,,1
2019-02-15,Freitag,,1
2019-02-16,Samstag,,0
2019-02-17,Sonntag,,0
2019-02-18,Montag,,1
2019-02-19,Dienstag,,1
2019-02-20,Mittwoch,,1
2019-02-21,Donnerstag,,1
2019-02-22,Freitag,,1
2019-02-23,Samstag,,0
2019-02-24,Sonntag,,0
2019-02-25,Montag,,1
2019-02-26,Dienstag,,1
2019-02-27,Mittwoch,,1
2019-02-28,Donnerstag,,1
2019-03-01,Freitag,,1
2019-03-02,Samstag,,0
2019-03-03,Sonntag,,0
2019-03-04,Montag,,1
2019-03-05,Dienstag,,1
2019-03-06,Mittwoch,,1
2019-03-07,Donnerstag,,1
2019-03-08,Freitag,,1
2019-03-09,Samstag,,0
2019-03-10,Sonntag,,0
2019-03-11,Montag,,1
2019-03-12,Dienstag,,1
2019-03-13,Mittwoch,,1
2019-03-14,Donnerstag,,1
2019-03-15,Freitag,,1
2019-03-16,Samstag,,0
2019-03-17,Sonntag,,0
2019-03-18,Montag,,1
2019-03-19,Dienstag,,1
2019-03-20,Mittwoch,,1
2019-03-21,Donnerstag,,1
2019-03-22,Freitag,,1
2019-03-23,Samstag,,0
2019-03-24,Sonntag,,0
2019-03-25,Montag,,1
2019-03-26,Dienstag,,1
2019-03-27,Mittwoch,,1
2019-03-28,Donnerstag,,1
2019-03-29,Freitag,,1
2019-03-30,Samstag,,0
2019-03-31,Sonntag,,0
2019-04-01,Montag,,1
2019-04-02,Dienstag,,1
2019-04-03,Mittwoch,,1
2019-04-04,Donnerstag,,1
2019-04-05,Freitag,,1
2019-04-06,Samstag,,0
2019-04-07,Sonntag,,0
2019-04-08,Montag,,1
2019-04-09,Dienstag,,1
2019-04-10,Mittwoch,,1
2019-04-11,Donnerstag,,1
2019-04-12,Freitag,,1
2019-04-13,Samstag,,0
2019-04-14,Sonntag,,0
2019-04-15,Montag,,1
2019-04-16,Dienstag,,1
2019-04-17,Mittwoch,,1
2019-04-18,Donnerstag,,1
2019-04-19,Freitag,Karfreitag,0
2019-04-20,Samstag,,0
2019-04-21,Sonntag,,0
2019-04-22,Montag,Ostermontag,0
2019-04-23,Dienstag,,1
2019-04-24,Mittwoch,,1
2019-04-25,Donnerstag,,1
2019-04-26,Freitag,,1
2019-04-27,Samstag,,0
2019-04-28,Sonntag,,0
2019-04-29,Montag,,1
2019-04-30,Dienstag,,1
2019-05-01,Mittwoch,Erster Mai,0
2019-05-02,Donnerstag,,1
2019-05-03,Freitag,,1
2019-05-04,Samstag,,0
2019-05-05,Sonntag,,0
2019-05-06,Montag,,1
2019-05-07,Dienstag,,1
2019-05-08,Mittwoch,,1
2019-05-09,Donnerstag,,1
2019-05-10,Freitag,,1
2019-05-11,Samstag,,0
2019-05-12,Sonntag,,0
2019-05-13,Montag,,1
2019-05-14,Dienstag,,1
2019-05-15,Mittwoch,,1
2019-05-16,Donnerstag,,1
2019-05-17,Freitag,,1
2019-05-18,Samstag,,0
2019-05-19,Sonntag,,0
2019-05-20,Montag,,1
2019-05-21,Dienstag,,1
2019-05-22,Mittwoch,,1
2019-05-23,Donnerstag,,1
2019-05-24,Freitag,,1
2019-05-25,Samstag,,0
2019-05-26,Sonntag,,0
2019-05-27,Montag,,1
2019-05-28,Dienstag,,1
2019-05-29,Mittwoch,,1
2019-05-30,Donnerstag,Christi Himmelfahrt,0
2019-05-31,Freitag,,1
2019-06-01,Samstag,,0
2019-06-02,Sonntag,,0
2019-06-03,Montag,,1
2019-06-04,Dienstag,,1
2019-06-05,Mittwoch,,1
2019-06-06,Donnerstag,,1
2019-06-07,Freitag,,1
2019-06-08,Samstag,,0
2019-06-09,Sonntag,,0
2019-06-10,Montag,Pfingstmontag,0
2019-06-11,Dienstag,,1
2019-06-12,Mittwoch,,1
2019-06-13,Donnerstag,,1
2019-06-14,Freitag,,1
2019-06-15,Samstag,,0
2019-06-16,Sonntag,,0
2019-06-17,Montag,,1
2019-06-18,Dienstag,,1
2019-06-19,Mittwoch,,1
2019-06-20,Donnerstag,Fronleichnam,0
2019-06-21,Freitag,,1
2019-06-22,Samstag,,0
2019-06-23,Sonntag,,0
2019-06-24,Montag,,1
2019-06-25,Dienstag,,1
2019-06-26,Mittwoch,,1
2019-06-27,Donnerstag,,1
2019-06-28,Freitag,,1
2019-06-29,Samstag,,0
2019-06-30,Sonntag,,0
2019-07-01,Montag,,1
2019-07-02,Dienstag,,1
2019-07-03,Mittwoch,,1
2019-07-04,Donnerstag,,1
2019-07-05,Freitag,,1
2019-07-06,Samstag,,0
2019-07-07,Sonntag,,0
2019-07-08,Montag,,1
2019-07-09,Dienstag,,1
2019-07-10,Mittwoch,,1
2019-07-11,Donnerstag,,1
2019-07-12,Freitag,,1
2019-07-13,Samstag,,0
2019-07-14,Sonntag,,0
2019-07-15,Montag,,1
2019-07-16,Dienstag,,1
2019-07-17,Mittwoch,,1
2019-07-18,Donnerstag,,1
2019-07-19,Freitag,,1
2019-07-20,Samstag,,0
2019-07-21,Sonntag,,0
2019-07-22,Montag,,1
2019-07-23,Dienstag,,1
2019-07-24,Mittwoch,,1
2019-07-25,Donnerstag,,1
2019-07-26,Freitag,,1
2019-07-27,Samstag,,0
2019-07-28,Sonntag,,0
2019-07-29,Montag,,1
2019-07-30,Dienstag,,1
2019-07-31,Mittwoch,,1
2019-08-01,Donnerstag,,1
2019-08-02,Freitag,,1
2019-08-03,Samstag,,0
2019-08-04,Sonntag,,0
2019-08-05,Montag,,1
2019-08-06,Dienstag,,1
2019-08-07,Mittwoch,,1
2019-08-08,Donnerstag,,1
2019-08-09,Freitag,,1
2019-08-10,Samstag,,0
2019-08-11,Sonntag,,0
2019-08-12,Montag,,1
2019-08-13,Dienstag,,1
2019-08-14,Mittwoch,,1
2019-08-15,Donnerstag,,1
2019-08-16,Freitag,,1
2019-08-17,Samstag,,0
2019-08-18,Sonntag,,0
2019-08-19,Montag,,1
2019-08-20,Dienstag,,1
2019-08-21,Mittwoch,,1
2019-08-22,Donnerstag,,1
2019-08-23,Freitag,,1
2019-08-24,Samstag,,0
2019-08-25,Sonntag,,0
2019-08-26,Montag,,1
2019-08-27,Dienstag,,1
2019-08-28,Mittwoch,,1
2019-08-29,Donnerstag,,1
2019-08-30,Freitag,,1
2019-08-31,Samstag,,0
2019-09-01,Sonntag,,0
2019-09-02,Montag,,1
2019-09-03,Dienstag,,1
2019-09-04,Mittwoch,,1
2019-09-05,Donnerstag,,1
2019-09-06,Freitag,,1
2019-09-07,Samstag,,0
2019-09-08,Sonntag,,0
2019-09-09,Montag,,1
2019-09-10,Dienstag,,1
2019-09-11,Mittwoch,,1
2019-09-12,Donnerstag,,1
2019-09-13,Freitag,,1
2019-09-14,Samstag,,0
2019-09-15,Sonntag,,0
2019-09-16,Montag,,1
2019-09-17,Dienstag,,1
2019-09-18,Mittwoch,,1
2019-09-19,Donnerstag,,1
2019-09-20,Freitag,,1
2019-09-21,Samstag,,0
2019-09-22,Sonntag,,0
2019-09-23,Montag,,1
2019-09-24,Dienstag,,1
2019-09-25,Mittwoch,,1
2019-09-26,Donnerstag,,1
2019-09-27,Freitag,,1
2019-09-28,Samstag,,0
2019-09-29,Sonntag,,0
2019-09-30,Montag,,1
2019-10-01,Dienstag,,1
2019-10-02,Mittwoch,,1
2019-10-03,Donnerstag,Tag der Deutschen Einheit,0
2019-10-04,Freitag,,1
