datum,forecast,actual,residual,baseline
2021-06-16,191887,195981,4094,188912
2021-06-17,195282,195340,58,194938
2021-06-18,192869,194587,1718,188497
2021-06-19,152754,155021,2267,148788
2021-06-20,133447,138551,5104,132256
2021-06-21,191583,185769,-5814,187365
2021-06-22,191156,190220,-936,192557
2021-06-23,189889,193029,3140,191380
2021-06-24,190301,188629,-1672,187807
2021-06-25,184622,184801,179,184619
2021-06-26,145250,144769,-481,147740
2021-06-27,128772,131692,2920,131189
2021-06-28,187276,188309,1033,184588
2021-06-29,191600,190641,-959,188827
2021-06-30,189249,187699,-1550,192474
2021-07-01,187050,185196,-1854,189789
2021-07-02,181711,179197,-2514,184737
2021-07-03,141560,144590,3030,147382
2021-07-04,126243,131980,5737,130008
2021-07-05,182977,183363,386,183908
2021-07-06,188938,189976,1038,190912
2021-07-07,189210,186688,-2522,187952
2021-07-08,185263,188492,3229,185457
2021-07-09,184040,181727,-2313,179941
2021-07-10,143893,147334,3441,145568
2021-07-11,127854,132840,4986,132638
2021-07-12,186891,184734,-2157,187233
2021-07-13,190426,193347,2921,189694
2021-07-14,191243,189950,-1293,187672
2021-07-15,187557,189698,2141,186915
2021-07-16,184091,183186,-905,181043
2021-07-17,144176,143856,-320,147430
2021-07-18,127240,127268,28,132651
2021-07-19,183821,178945,-4876,182051
2021-07-20,185858,183878,-1980,188759
2021-07-21,185581,185562,-19,186830
2021-07-22,186359,186822,463,186291
2021-07-23,184922,182585,-2337,182094
2021-07-24,145048,148231,3183,144336
2021-07-25,128666,132931,4265,126562
2021-07-26,184799,182907,-1892,179540
2021-07-27,187723,187647,-76,186450
2021-07-28,186934,184550,-2384,186648
2021-07-29,185016,180267,-4749,184358
2021-07-30,178915,176930,-1985,176586
2021-07-31,139700,142842,3142,140657
2021-08-01,124226,128451,4225,122993
2021-08-02,177916,169754,-8162,171386
2021-08-03,177231,174071,-3160,175387
2021-08-04,175698,171961,-3737,170700
2021-08-05,171083,169184,-1899,171861
2021-08-06,165785,167371,1586,166840
2021-08-07,131850,135425,3575,135372
2021-08-08,118358,119860,1502,121968
2021-08-09,166558,157928,-8630,165632
2021-08-10,165658,162894,-2764,170309
2021-08-11,165641,165211,-430,169235
2021-08-12,166667,166114,-553,168725
2021-08-13,165213,166279,1066,166948
2021-08-14,133578,139298,5720,137469
2021-08-15,121007,128672,7665,123133
2021-08-16,168153,166451,-1702,161635
2021-08-17,169120,164512,-4608,165710
2021-08-18,165240,166299,1059,166836
2021-08-19,164738,168886,4148,165122
2021-08-20,165562,164679,-883,163375
2021-08-21,132837,137287,4450,136598
2021-08-22,120137,124606,4469,122577
2021-08-23,170902,168460,-2442,161650
2021-08-24,173141,176630,3489,163832
2021-08-25,176841,175628,-1213,168074
2021-08-26,175179,176419,1240,172058
2021-08-27,172817,174359,1542,168772
2021-08-28,137468,140483,3015,139567
2021-08-29,123995,130834,6839,127041
2021-08-30,178249,179559,1310,171409
2021-08-31,183626,187846,4220,177191
2021-09-01,187588,185241,-2347,179608
2021-09-02,184923,182603,-2320,181914
2021-09-03,180267,180077,-190,178408
2021-09-04,142803,143462,659,144241
2021-09-05,126629,130446,3817,131143
2021-09-06,182939,184250,1311,180571
2021-09-07,188831,189329,498,187321
2021-09-08,189765,192252,2487,186224
2021-09-09,191323,192673,1350,184411
2021-09-10,188584,189053,469,182047
2021-09-11,147052,155616,8564,146155
2021-09-12,132764,136085,3321,132615
2021-09-13,189182,189184,2,187834
2021-09-14,194732,197361,2629,193132
2021-09-15,196228,200588,4360,193240
2021-09-16,197075,197825,750,191814
2021-09-17,192900,189112,-3788,188488
2021-09-18,149245,154048,4803,153091
2021-09-19,133242,137961,4719,135106
2021-09-20,190428,187846,-2582,186168
2021-09-21,193913,194196,283,192225
2021-09-22,194447,192614,-1833,194551
2021-09-23,191773,188819,-2954,193701
2021-09-24,186642,189804,3162,187307
2021-09-25,149305,156532,7227,153224
2021-09-26,134921,142829,7908,136539
2021-09-27,191890,192949,1059,189073
2021-09-28,197169,195825,-1344,196330
2021-09-29,195966,196193,227,196410
2021-09-30,196416,192831,-3585,192509
2021-10-01,188768,187968,-800,192203
2021-10-02,148602,150077,1475,158046
2021-10-03,132037,137145,5108,140372
2021-10-04,188409,194783,6374,190762
2021-10-05,197188,201402,4214,194761
2021-10-06,200726,198822,-1904,196121
2021-10-07,197078,202666,5588,194836
2021-10-08,196901,199015,2114,190408
2021-10-09,156754,153478,-3276,154947
2021-10-10,138876,143483,4607,143480
2021-10-11,195435,200150,4715,198586
2021-10-12,203735,208537,4802,202576
2021-10-13,206444,207542,1098,201978
2021-10-14,203675,203721,46,202919
2021-10-15,198556,196865,-1691,199850
2021-10-16,157728,162599,4871,156384
2021-10-17,142559,153019,10460,143247
2021-10-18,199221,200378,1157,199947
2021-10-19,203868,204172,304,208009
2021-10-20,202024,201377,-647,203443
2021-10-21,199986,197765,-2221,201090
2021-10-22,197873,195276,-2597,197154
2021-10-23,158258,160107,1849,161922
2021-10-24,142539,148267,5728,149790
2021-10-25,195673,198711,3038,199804
2021-10-26,202792,204786,1994,204230
2021-10-27,202841,201747,-1094,202384
2021-10-28,199291,201733,2442,200544
2021-10-29,197521,196760,-761,196693
2021-10-30,157606,162514,4908,162795
2021-10-31,142783,146896,4113,151552
2021-11-01,140660,148336,7676,148868
2021-11-02,201299,195771,-5528,202632
2021-11-03,204319,204249,-70,198999
2021-11-04,206635,207026,391,196862
2021-11-05,205492,202580,-2912,194465
2021-11-06,165269,168958,3689,163300
2021-11-07,150362,156338,5976,152283
2021-11-08,205186,202170,-3016,207735
2021-11-09,206646,210845,4199,207497
2021-11-10,209289,212472,3183,207839
2021-11-11,209529,211963,2434,208436
2021-11-12,208099,209475,1376,207382
2021-11-13,165209,173481,8272,170583
2021-11-14,152095,156394,4299,155606
2021-11-15,207005,207315,310,205108
2021-11-16,211738,215945,4207,207937
2021-11-17,214243,220370,6127,208239
2021-11-18,216546,216200,-346,209651
2021-11-19,210909,207575,-3334,208296
2021-11-20,167617,168973,1356,175848
2021-11-21,153020,161508,8488,159560
2021-11-22,211443,212596,1153,206708
2021-11-23,217368,219421,2053,214198
2021-11-24,219236,221918,2682,220722
2021-11-25,220154,223683,3529,217779
2021-11-26,219390,218319,-1071,210990
2021-11-27,179089,183181,4092,175246
2021-11-28,164164,171218,7054,166081
2021-11-29,221398,220578,-820,215899
2021-11-30,223108,231130,8022,221360
2021-12-01,225369,225941,572,218290
2021-12-02,223406,225257,1851,219350
2021-12-03,222307,212041,-10266,215028
2021-12-04,173287,176028,2741,178585
2021-12-05,159866,160239,373,166414
2021-12-06,213145,213304,159,215114
2021-12-07,217392,218972,1580,224497
2021-12-08,218391,218638,247,221233
2021-12-09,216779,216438,-341,217576
2021-12-10,212549,215277,2728,207928
2021-12-11,175934,180138,4204,173172
2021-12-12,162257,161895,-362,157177
